,source,target
718,Goldman Sachs,Insight Partners
719,Goldman Sachs,New Enterprise Associates
720,Goldman Sachs,Leonardo DiCaprio
721,Goldman Sachs,Asian Development Bank
722,Goldman Sachs,TPG Growth
723,Goldman Sachs,ClalTech
724,Goldman Sachs,Tencent Holdings
725,Goldman Sachs,BNP Paribas
726,Goldman Sachs,Insights Venture Partners
727,Goldman Sachs,KKR
728,Goldman Sachs,Matrix Partners China
729,Goldman Sachs,Norwest Venture Partners
730,Goldman Sachs,VebVentures
731,Goldman Sachs,Pritzker Group Venture Capital
732,Goldman Sachs,Google
733,Goldman Sachs,JERA
734,Goldman Sachs,Viola Ventures
735,Goldman Sachs,Vattenfall
736,Goldman Sachs,General Atlantic
737,Goldman Sachs,Dell Technologies Capital
738,World Lab Innovation,Blackrock
739,World Lab Innovation,capitalG
740,Accel Partners,Index Ventures
741,Accel Partners,Insight Venture Partners
742,Accel Partners,Greylock Partners
743,Accel Partners,General Catalyst
744,Accel Partners,Lowercase Capital
745,Accel Partners,General Atlantic
746,Accel Partners,Sequoia Capital
747,Pritzker Group Venture Capital,Insights Venture Partners
748,Mitsubishi Corporation,Mayfair Equity Partners
749,Caterpillar,Revolution
750,Caterpillar,New Enterprise Associates
751,Shanghai Puyin Industry,Jiangsu Sha Steel Group
752,Shanghai Puyin Industry,Funa Yuanchuang Technology
753,Entree Capital,Insight Partners
754,General Atlantic,Unternehmertum Venture Capital
755,General Atlantic,New Enterprise Associates
756,General Atlantic,Sequoia Capital
757,General Atlantic,Gaorong Capital
758,General Atlantic,Kaszek Ventures
759,General Atlantic,Capital Today
760,General Atlantic,Index Ventures
761,General Atlantic,CMC Capital Partners
762,General Atlantic,Lightspeed Venture Partners
763,OMERS Ventures,Seedcamp
764,OMERS Ventures,Salesforce Ventures
765,Atlos Ventures,Index Ventures
766,e.ventures,Greycroft
767,Susquehanna Growth Equity,ICONIQ Capital
768,Susquehanna Growth Equity,83North
769,Susquehanna Growth Equity,China Broadband Capital
770,Sozo Ventures,Caffeinated Capital
771,Sozo Ventures,Sequoia Capital
772,Hopu Investment Management,Kefa Capital
773,Hopu Investment Management,DC Thomson Ventures
774,Hopu Investment Management,Dark Horse Technology Group
775,Co-Energy Finance,Grandland
776,Loyal Valley Capital,Tencent Holdings
777,Loyal Valley Capital,Bertelsmann Asia Investments
778,Polaris Partners,Lowercase Capital
779,Polaris Partners,Insight Venture Partners
780,Boxin Capital,IDG Capital
781,New Enterprise Associates,Kleiner Perkins Caufield & Byers
782,New Enterprise Associates,Andreessen Horowitz
783,New Enterprise Associates,Charter Venture Capital
784,New Enterprise Associates,Battery Ventures
785,New Enterprise Associates,Bessemer Venture Partners
786,New Enterprise Associates,Lakestar
787,New Enterprise Associates,Revolution
788,New Enterprise Associates,Tencent
789,New Enterprise Associates,Sequoia Capital
790,New Enterprise Associates,Lightbank
791,New Enterprise Associates,GSV Capital
792,New Enterprise Associates,Flare Capital Partners
793,New Enterprise Associates,Greylock Partners
794,New Enterprise Associates,China Investment Corporation
795,New Enterprise Associates,MPM Capital
796,New Enterprise Associates,Learn Capital
797,New Enterprise Associates,Accomplice
798,New Enterprise Associates,Tiger Global management
799,New Enterprise Associates,Cowboy Ventures
800,New Enterprise Associates,capitalG
801,New Enterprise Associates,T. Rowe Associates
802,Basepoint Ventures,Industry Ventures
803,Basepoint Ventures,and Institutional Venture Partners
804,Battery Ventures,Index Ventures
805,Battery Ventures,Bessemer Venture Partners
806,Battery Ventures,Lakestar
807,Battery Ventures,Andreessen Horowitz
808,Battery Ventures,ICONIQ Capital
809,Battery Ventures,Opus Capital
810,Battery Ventures,Azure Capital Partners
811,Battery Ventures,Contour Venture Partners
812,Battery Ventures,DST Global
813,Battery Ventures,Benchmark
814,Investment Corporation of Dubai,Centralway
815,Foundation Capital,General Catalyst
816,Silicon Valley Bank,QED Investors
817,Silicon Valley Bank,European Founders Fund
818,Quantum Energy Partners,Bedrock Capital
819,China Development Bank Capital,China Life Insurance
820,China Development Bank Capital,CITIC Securities International
821,TMT Investments,Didi Chuxing_
822,TMT Investments,Diamler
823,Lightbank,T. Rowe Associates
824,JAFCO Co,Bitmain Technologies_
825,JAFCO Co,IDG Capital
826,Kaszek Ventures,Sequoia Capital
827,CDH Investments,China Broadband Capital
828,CDH Investments,Goldstone Investments
829,CDH Investments,Legend Capital
830,Softbank,Chiratae Ventures
831,Softbank,PremjiInvest
832,Net1 UEPS Technologies,Blue Label Telecoms
833,Nor-Cal Invest,Andreessen Horowitz
834,Nor-Cal Invest,TPG Growth
835,Dark Horse Technology Group,Kefa Capital
836,China Renaissance,China Health Industry Investment Fund
837,Blume Ventures,Sequoia Capital India
838,Blume Ventures,Nexus Venture Partners
839,WRVI Capital,S-Cubed Capital
840,Bright Venture Capita,Matrix Partners China
841,China Everbright Investment Management,Yinxinggu Capital
842,V Star Capital,Haitong Leading Capital Management
843,V Star Capital,GF Xinde Investment Management Co.
844,PayPal Ventures,Temasek
845,PayPal Ventures,MasterCard
846,Softbank Group,Sina Weibo
847,Softbank Group,Accel
848,Softbank Group,Anthos Capital
849,Softbank Group,CapitalG
850,Softbank Group,SignalFire
851,Softbank Group,Sequoia Capital
852,Softbank Group,SIG Asia Investments
853,Softbank Group,Vertex Venture Holdings
854,Highland Capital Partners,Madrona Venture Group
855,Highland Capital Partners,Kleiner Perkins Caufield & Byers
856,Bank of China,China Construction Bank
857,JOY Capital,Capital Today
858,JOY Capital,Morningside Ventures
859,Escala Capital,LGT Capital Partners
860,American Express Ventures,Kleiner Perkins Caufield & Byers
861,iFLYTEK,IDG Capital
862,iFLYTEK,China Everbright Limited
863,Harrison Metal,Redpoint Ventures
864,Harrison Metal,Bessemer Venture Partners
865,Ping An Insurance,KKR
866,Sina Weibo,Redpoint Ventures
867,Sina Weibo,Kleiner Perkins Caufield & Byers
868,Sina Weibo,SIG Asia Investments
869,ES Ventures,KKR
870,ClalTech,Insight Partners
871,ClalTech,Viola Ventures
872,Ventures,Index
873,Gopher Asset Management,Shanghai Electric Group
874,Global Logistic Properties,K2VC
875,Global Logistic Properties,Source Code Capital
876,Flare Capital Partners,Bessemer Venture Partners
877,China Broadband Capital,83North
878,Red Sea Ventures,Revolution
879,Draper Fisher Jurvetson,Rothenberg Ventures
880,Commerce Ventures,Sequoia Capital Israel
881,Commerce Ventures,Scale Venture Partners
882,Lightspeed China Partners,K2VC
883,Lightspeed China Partners,Sky9 Capital
884,CMC Capital Partners,Gaorong Capital
885,SoftBankGroup,Blackrock
886,SoftBankGroup,Sequoia Capital India
887,Banyan Capital,IDG Capital Partners
888,KKR,Ten Eleven Ventures
889,KKR,Tencent Holdings
890,KKR,Summit Partners
891,Linear Venture,IDG Capital
892,Linear Venture,Tencent
893,Green Pine Capital Partners,SAIF Partners China
894,Green Pine Capital Partners,IDG Capital
895,IFC,Ajinomoto
896,Makena Capital Management,TPG Growth
897,Kaalari Capital,Tencent Holdings
898,Chiratae Ventures,PremjiInvest
899,Softbank Capital,Info Edge
900,Bond,Tribe Capital
901,Walden International,Zhangjiang Haocheng Venture Capital
902,Sutter Hill Ventures,Matrix Partners
903,Sutter Hill Ventures,Bessemer Venture Partners
904,GP Capital,Western Capital Management
905,Yunfeng Capital,Shang Qi Capital
906,Yunfeng Capital,SDIC Innovation Investment Management
907,Founder H Fund,Richland Equities
908,Founder H Fund,U.S.-China Green Fund
909,Bertelsmann Asia Investments,Tencent Holdings
910,Google Capital,Sequoia Capital
911,Google Capital,Tiger Global
912,Collaborative Fund,Kleiner Perkins Caufield & Byers
913,Salesforce Ventures,Seedcamp
914,Salesforce Ventures,Storm Ventures
915,Salesforce Ventures,DJF
916,Stonebridge Capital,Tencent Holdings
917,Stonebridge Capital,IMM Investment
918,Tokyo Century Corporation,Tokopedia_
919,Tokyo Century Corporation,Grab_
920,Granite Ventures,CommerzVentures
921,Granite Ventures,83North
922,Redpoint Ventures,QiMing Venture Partners
923,Redpoint Ventures,Viking Global Investors
924,Redpoint Ventures,Bessemer Venture Partners
925,Redpoint Ventures,True Ventures
926,Redpoint Ventures,Kleiner Perkins Caufield & Byers
927,Redpoint Ventures,Mayfield Fund
928,Redpoint Ventures,Lightspeed Venture Partners
929,Octopus Ventures,dmg ventures
930,Octopus Ventures,General Catalyst
931,Madrona Venture Group,Kleiner Perkins Caufield & Byers
932,Microsoft ScaleUp,DST Global
933,Microsoft ScaleUp,Lightspeed Venture Partners
934,Industry Ventures,and Institutional Venture Partners
935,Lowercase Capital,Insight Venture Partners
936,Lowercase Capital,Greylock Partners
937,Lowercase Capital,Lightspeed Venture Partners
938,Shang Qi Capital,SDIC Innovation Investment Management
939,TopoScend Capital,BOC International
940,BoxGroup,Felicis Ventures
941,Qianhai Fund of Funds,InnoVision Capital
942,CJ ENM,Tencent Holdings
943,CJ ENM,RedBird Capital Partners
944,Advent International,Index Ventures
945,Huasheng Capital,Baidu
946,Huasheng Capital,Tencent
947,Sound Ventures,Insight Venture Partners
948,Sound Ventures,TPG Growth
949,Storm Ventures,DJF
950,Clermont Group,Toscafund Asset Management
951,Clermont Group,Coltrane Asset Management
952,Initialized Capital,SignalFire
953,Initialized Capital,Kleiner Perkins Caufield & Byers
954,Initialized Capital,General Catalyst
955,Lightspeed India Partners,Sequoia Capital India
956,Lightspeed India Partners,Tencent Holdings
957,Sinovation Ventures,Tencent Holdings
958,Jiangsu Sha Steel Group,Funa Yuanchuang Technology
959,Blackbird Ventures,Matrix Partners
960,Sands Capital,Greycroft
961,Batavia Incubator,500 Startups
962,Aspect Ventures,Greylock Partners
963,Pokemon Company International,Nintendo
964,Pokemon Company International,Spark Capital
965,Pokemon Company International,Google
966,Wing Venture Capital,Norwest Venture Partners
967,Wing Venture Capital,Next World Capital
968,Wing Venture Capital,Sequoia Capital
969,BlackRock,T. Rowe Price
970,RPM Ventures,Ribbit Capital
971,RPM Ventures,DCM Ventures
972,NextView Ventures,MHS Capital
973,NextView Ventures,Eniac Ventures
974,NextView Ventures,Mayfield Fund
975,NextView Ventures,Sequoia Capital
976,Galaxy Digital,Georgian Co-Investment Fund
977,Galaxy Digital,iTech Capital
978,BGF Ventures,MMC Ventures
979,Elaia Partners,83North
980,Elaia Partners,Felix Capital
981,Shenzhen Qianhe Capital Management Co.,Fosun RZ Capital
982,Shenzhen Qianhe Capital Management Co.,Oceanwide Holdings
983,Just Eat,Movile
984,Oak HC/FT Partners,Walgreens Boots Alliance
985,Oak HC/FT Partners,Kinnevik
986,Trilogy Equity Partners,Threshold Ventures
987,A&NN,Rusnano
988,Eight Roads Ventures,Greycroft
989,Eight Roads Ventures,Ignition Partners
990,GSV Capital,Learn Capital
991,GSV Capital,Kleiner Perkins Caufield & Byers
992,Capital Today,Morningside Ventures
993,Venture51,Lightspeed Venture Partners
994,Venture51,IDG Capital
995,US Venture Partners,Microsoft Ventures
996,US Venture Partners,Kleiner Perkins Caufield & Byers
997,NewSpring Holdings,Level Equity
998,NewSpring Holdings,Riverwood Capital
999,Standard Chartered,Affirma Capital
1000,Tusk Ventures,Sequoia Capital
1001,U.S.-China Green Fund,Richland Equities
1002,Bain Capital,Altos Ventures
1003,5Y Capital,Legend Capital
1004,Matrix Partners China,IDG Capital
1005,index Ventures,DST Global
1006,index Ventures,Ribbit Capital
1007,dmg ventures,General Catalyst
1008,Morningside Ventures,Warburg Pincus
1009,Morningside Ventures,CreditEase Fintech Investment Fund
1010,Google,Spark Capital
1011,Google,BNP Paribas
1012,Google,Nintendo
1013,Viola Ventures,Insight Partners
1014,Viola Ventures,Dell Technologies Capital
1015,Nexus Venture Partners,Insight Partners
1016,Nexus Venture Partners,Tenaya Capital
1017,Nexus Venture Partners,Sequoia Capital India
1018,Nexus Venture Partners,Sequoia Capital
1019,OLX Group,EXOR Seeds
1020,Toyota Motor Corporation,FANUC
1021,Toyota Motor Corporation,Mizuho Financial Group
1022,83North,Accel
1023,83North,Felix Capital
1024,83North,CommerzVentures
1025,T. Rowe Price,Accel
1026,T. Rowe Price,Andreessen Horowitz
1027,Bitmain Technologies_,IDG Capital
1028,Haitong Leading Capital Management,GF Xinde Investment Management Co.
1029,Tokopedia_,Grab_
1030,Motus Ventures,Samsung Ventures
1031,Motus Ventures,Delphi Automotive
1032,Ribbit Capital,VY Capital
1033,Ribbit Capital,DST Global
1034,Ribbit Capital,TLV Partners
1035,Ribbit Capital,DCM Ventures
1036,TTV Capital,Canapi Ventures
1037,General Catalyst,Lux Capital
1038,General Catalyst,L Catterton
1039,General Catalyst,Andreessen Horowitz
1040,General Catalyst,Warburg Pincus
1041,General Catalyst,Index Ventures
1042,General Catalyst,SignalFire
1043,General Catalyst,Accel
1044,General Catalyst,Matrix Partners
1045,TPG Growth,Insight Venture Partners
1046,TPG Growth,Andreessen Horowitz
1047,Tencent Holdings,IMM Investment
1048,Tencent Holdings,DCM Ventures
1049,Tencent Holdings,Gaorong Capital
1050,Tencent Holdings,DST Global
1051,Tencent Holdings,Greylock Partners
1052,Tencent Holdings,Sequoia Capital India
1053,Tencent Holdings,Baidu
1054,Tencent Holdings,FAW Group
1055,Tencent Holdings,RedBird Capital Partners
1056,Tencent Holdings,IDG Capital
1057,Tencent Holdings,Source Code Capital
1058,Tencent Holdings,Meituan Dianping
1059,Tencent Holdings,Benchmark
1060,Wakefield Group,Sequoia Capital
1061,Causeway Media Partners,Novator Partners
1062,Neuberger Berman,K1 Capital
1063,Visa,March Capital Partners
1064,Monashees+,Andreessen Horowitz
1065,Monashees+,QED Investors
1066,Tiger Global,August Capital
1067,Tiger Global,Sequoia Capital
1068,Anthos Capital,Accel
1069,Anthos Capital,Plug and Play Ventures
1070,Alaska Permanent Fund,Activant Capital Group
1071,Alaska Permanent Fund,Baillie Gifford & Co.
1072,Ireland Strategic Investment Fund,Insight Partners
1073,Ireland Strategic Investment Fund,TPG Alternative & Renewable Technologies
1074,VY Capital,Sequoia Capital
1075,Crowdcube,TSG Consumer Partners
1076,Learn Capital,Kleiner Perkins Caufield & Byers
1077,CreditEase Fintech Investment Fund,Warburg Pincus
1078,Ignition Partners,Greycroft
1079,China Life Insurance,CITIC Securities International
1080,Accel,Insight Partners
1081,Accel,Addition
1082,Accel,Astral Capital
1083,Accel,Seedcamp
1084,Accel,Summit Partners
1085,Accel,Burda Principal Investments
1086,Accel,Social Capital
1087,Accel,Index Ventures
1088,Accel,BPI France
1089,Accel,Lightspeed Venture Partners
1090,Accel,Northzone Ventures
1091,Accel,Kerala Ventures
1092,Accel,capitalG
1093,QiMing Venture Partners,Silverlink Capital
1094,Scale Venture Partners,Sequoia Capital Israel
1095,Scale Venture Partners,Index Ventures
1096,Dell Technologies Capital,Norwest Venture Partners
1097,Next World Capital,Norwest Venture Partners
1098,Didi Chuxing_,Diamler
1099,Giza Venture Capital,Insight Venture Partners
1100,Giza Venture Capital,Gemini Israel Ventures
1101,Lux Capital,Andreessen Horowitz
1102,Formation Group,Sequoia Capital India
1103,Formation Group,Warburg Pincus
1104,Astral Capital,Summit Partners
1105,D1 Capital Partners,Upfront Ventures
1106,QED Investors,Andreessen Horowitz
1107,QED Investors,European Founders Fund
1108,Summit Partners,Ten Eleven Ventures
1109,Riverwood Capital,Level Equity
1110,Sky9 Capital,K2VC
1111,Crosslink Capital,Homebrew
1112,Passport Capital,Matrix Partners
1113,Passport Capital,Rho Ventures
1114,FirstMark Capital,ICONIQ Capital
1115,FirstMark Capital,Alven Capital
1116,FirstMark Capital,capitalG
1117,Oceanwide Holdings,Fosun RZ Capital
1118,China Everbright Limited,IDG Capital
1119,Kibo Ventures,Spark Capital
1120,Kibo Ventures,F-Prime Capital
1121,Global Asset Capital,Tao Capital Partners
1122,Gemini Israel Ventures,Insight Venture Partners
1123,Lightspeed Venture Partners,Andreessen Horowitz
1124,Lightspeed Venture Partners,Social Capital
1125,Lightspeed Venture Partners,Viking Global Investors
1126,Lightspeed Venture Partners,DST Global
1127,Lightspeed Venture Partners,Index Ventures
1128,Lightspeed Venture Partners,Greylock Partners
1129,Lightspeed Venture Partners,IDG Capital
1130,Lightspeed Venture Partners,Geodesic Capital
1131,SAIF Partners China,Baidu
1132,SAIF Partners China,IDG Capital
1133,Baseline Ventures,DCM Ventures
1134,Otter Rock Capital,Rakuten
1135,Otter Rock Capital,Seaya Ventures
1136,Benchmark Capital,Insight Venture Partners
1137,TPG Alternative & Renewable Technologies,Insight Partners
1138,Meituan Dianping,Source Code Capital
1139,Tribeca Venture Partners,Bessemer Venture Partners
1140,Vcanbio,Tencent
1141,iTech Capital,Georgian Co-Investment Fund
1142,Insight Partners,MHS Capital
1143,Insight Partners,Burda Principal Investments
1144,Insight Partners,Norwest Venture Partners
1145,Insight Partners,VebVentures
1146,Insight Partners,DST Global
1147,Vertex Ventures China,Volcanics Ventures
1148,Vertex Ventures China,Warburg Pincus
1149,Accel India,Norwest Venture Partners
1150,Mithril,iNovia Capital
1151,Mithril,Foundry Group
1152,Foundry Group,iNovia Capital
1153,Seedcamp,capitalG
1154,Microsoft Ventures,Kleiner Perkins Caufield & Byers
1155,K9 Ventures,Bessemer Venture Partners
1156,Social Capital,Bessemer Venture Partners
1157,Asian Development Bank,JERA
1158,Upfront Ventures,Andreessen Horowitz
1159,Upfront Ventures,Tao Capital Partners
1160,Sequoia Capital,Andreessen Horowitz
1161,Sequoia Capital,Wellington Management
1162,Sequoia Capital,Eniac Ventures
1163,Sequoia Capital,Baillie Gifford & Co.
1164,Sequoia Capital,DST Global
1165,Sequoia Capital,next47
1166,Sequoia Capital,Index Ventures
1167,Sequoia Capital,Baidu
1168,Sequoia Capital,Caffeinated Capital
1169,Sequoia Capital,Tenaya Capital
1170,Sequoia Capital,Benchmark
1171,DST Global,Andreessen Horowitz
1172,DST Global,Gaorong Capital
1173,Verlinvest,Blackstone
1174,Spark Capital,Greylock Partners
1175,Spark Capital,F-Prime Capital
1176,Spark Capital,Nintendo
1177,BPI France,Kerala Ventures
1178,Insight Venture Partners,Index Ventures
1179,Insight Venture Partners,ICONIQ Capital
1180,Norwest Venture Partners,MHS Capital
1181,Norwest Venture Partners,Berkshire Partners
1182,Norwest Venture Partners,Newmark Knight Frank
1183,Source Code Capital,K2VC
1184,Matrix Partners,Andreessen Horowitz
1185,Matrix Partners,Bessemer Venture Partners
1186,Matrix Partners,Rho Ventures
1187,Matrix Partners,Softbank Corp.
1188,Matrix Partners,Benchmark
1189,True Ventures,Mayfield Fund
1190,Tao Capital Partners,Andreessen Horowitz
1191,capitalG,Greylock Partners
1192,capitalG,Blackrock
1193,capitalG,Alven Capital
1194,ING,Alibaba Entrepreneurs Fund
1195,Connecticut Innovations,Blackrock
1196,Kinnevik,Walgreens Boots Alliance
1197,ZhenFund,Tencent
1198,North Bridge Venture Partners,Greylock Partners
1199,Andreessen Horowitz,F-Prime Capital
1200,Andreessen Horowitz,Greylock Partners
1201,Andreessen Horowitz,Revolution Ventures
1202,Softbank Corp.,Kleiner Perkins Caufield & Byers
1203,Guangzhou Huiyin Aofeng Equity Investment Fund,China Media Group
1204,Zhiping Capital,Sina Weibo Fund
1205,Greylock Partners,Kleiner Perkins Caufield & Byers
1206,Greylock Partners,Gaorong Capital
1207,Greylock Partners,Index Ventures
1208,Greylock Partners,Providence Ventures
1209,Greylock Partners,Benchmark
1210,Sequoia Capital India,Warburg Pincus
1211,Rich Land Capital,Merrysunny Wealth
1212,Mayfield Fund,MHS Capital
1213,China Minsheng Investment,Baidu
1214,Seaya Ventures,Rakuten
1215,Seaya Ventures,Lakestar
1216,Mizuho Financial Group,FANUC
1217,K2 Global,500 Startups
1218,Activant Capital Group,Baillie Gifford & Co.
1219,O'Connor Ventures,Bessemer Venture Partners
1220,MasterCard,Temasek
1221,DCM Ventures,IDG Capital
1222,Kleiner Perkins Caulfield & Byers,Blackrock
1223,Gaorong Capital,IDG Capital
1224,Volcanics Ventures,Warburg Pincus
1225,Baidu,IDG Capital
1226,Baidu,Tencent
1227,Toscafund Asset Management,Coltrane Asset Management
1228,August Capital,Shasta Ventures
1229,Kleiner Perkins Caufield & Byers,Bessemer Venture Partners
1230,Kleiner Perkins Caufield & Byers,Index Ventures
1231,Trifecta Capital Advisors,Warburg Pincus
1232,Bessemer Venture Partners,ICONIQ Capital
1233,Bessemer Venture Partners,Benchmark
1234,Warburg Pincus,QingSong Fund
1235,ICONIQ Capital,Index Ventures
1236,Tencent,Tiger Global management
1237,Samsung Ventures,Delphi Automotive
1238,Index Ventures,Benchmark
1239,Star VC,IDG Capital
