Company,Valuation($B),Date Joined,Country,Industry,Select Investors
Kuaigou Dache,$1 ,7/13/2018,China,"Supply chain, logistics, & delivery","Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds"
Kuaishou,$18 ,1/1/2015,China,Mobile & telecommunications,"Morningside Venture Capital, Sequoia Capital, Baidu"
Kujiale,$1 ,10/25/2019,China,Internet software & services,"GGV Capital, IDG Capital, Linear Venture"
L&P Cosmetic,$1.19 ,1/1/2016,South Korea,Consumer & retail,CDIB Capital
Lalamove,$1.50 ,10/10/2017,Hong Kong,"Supply chain, logistics, & delivery","MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Leap Motor,$1.01 ,11/20/2018,China,Auto & transportation,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group"
LegalZoom,$2 ,7/31/2018,United States,Internet software & services,"K1 Capital, Francisco Partners, Neuberger Berman"
Lenskart,$1.50 ,9/16/2019,India,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank"
Lianjia,$5.77 ,4/7/2016,China,E-commerce & direct-to-consumer,"Tencent, Baidu, Huasheng Capital"
LifeMiles,$1.15 ,7/13/2015,Colombia,Other,Advent International
Lightricks,$1 ,7/31/2019,Israel,Artificial intelligence,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
Lilium Aviation,$1 ,6/9/2020,Germany,Other,"Freigeist Capital, Obvious Ventures, Atomico"
LinkDoc Technology,$1.09 ,7/5/2018,China,Health,"China Investment Corporation, New Enterprise Associates"
Linklogis,$1.05 ,10/15/2018,China,Fintech,"Bertelsmann Asia Investments, Loyal Valley Capital, Tencent Holdings"
LinkSure Network,$1 ,1/1/2015,China,Mobile & telecommunications,N/A
Liquid,$1 ,4/3/2019,Japan,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital"
Loft,$1 ,1/3/2020,Brazil,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors"
Loggi,$1 ,6/5/2019,Brazil,"Supply chain, logistics, & delivery","Qualcomm Ventures, SoftBank Group. Monashees+"
Lookout,$1.28 ,8/13/2014,United States,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital"
Luoji Siwei,$1.18 ,7/20/2017,China,Edtech,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
Lyell Immunopharma,$1.16 ,2/8/2019,United States,Health,"ARCH Venture Partners, Foresite Capital, Altitude Life Science Ventures"
Lyra Health,$1.10 ,8/25/2020,United States,Health,"Greylock Partners, Venrock, Providence Ventures"
Mafengwo,$2 ,5/23/2019,China,Travel,"Qiming Venture Partners, Capital Today, General Atlantic"
Magic Leap,$6.30 ,10/21/2014,United States,Hardware,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
Maimai,$1 ,11/15/2017,China,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures"
Manbang Group,$12 ,4/24/2018,China,"Supply chain, logistics, & delivery","Softbank Group, CapitalG"
Marqeta,$4.30 ,5/21/2019,United States,Fintech,"83North, Granite Ventures, CommerzVentures"
MediaMath,$1 ,7/10/2018,United States,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund"
Medlinker,$1.25 ,7/31/2018,China,Health,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China"
Meero,$1 ,6/18/2019,France,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital"
MEGVII,$4 ,7/1/2018,China,Artificial intelligence,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company"
Meicai,$2.80 ,6/22/2016,China,Mobile & telecommunications,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Meizu Technology,$4.58 ,7/23/2014,China,Hardware,"Telling Telecommunication Holding Co., Alibaba Group"
MessageBird,$3 ,10/8/2020,Netherlands,Mobile & telecommunications,"Y Combinator, Atomico, Accel"
Mia.com,$1 ,9/8/2015,China,E-commerce & direct-to-consumer,"Sequoia Capital China, ZhenFund, K2 Ventures"
Miaoshou Doctor,$1.02 ,6/27/2019,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
MindMaze,$1 ,1/28/2016,Switzerland,Health,Hinduja Group
Mirakl,$1.50 ,9/22/2020,France,E-commerce & direct-to-consumer,"Elaia Partners, 83North, Felix Capital"
Mofang Living,$1.50 ,4/13/2016,China,E-commerce & direct-to-consumer,"Warburg Pincus, Aviation Industry Corporation of China"
Mollie,$1 ,9/8/2020,Netherlands,Fintech,Technology Crossover Ventures
Momenta,$1 ,10/17/2018,China,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
monday.com,$1.90 ,7/30/2019,Israel,Internet software & services,"Entree Capital, Genesis Partners, Insight Partners"
Monzo,$1.58 ,10/31/2018,United Kingdom,Fintech,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Mu Sigma,$1 ,2/7/2013,United States,Data management & analytics,"Sequoia Capital, General Atlantic"
MUSINSA,$1.89 ,11/11/2019,South Korea,E-commerce & direct-to-consumer,Sequoia Capital
N26,$3.50 ,1/10/2019,Germany,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
National Stock Exchange of India,$6.50 ,7/1/2020,India,Fintech,"TA Associates, SoftBank Group, GS Growth"
Netskope,$3 ,11/13/2018,United States,Cybersecurity,"Lightspeed Venture Partners, Social Capital, Accel"
Next Insurance,$2 ,10/7/2019,United States,Fintech,"Zeev Ventures, Ribbit Capital, TLV Partners"
Nextdoor,$2.10 ,3/4/2015,United States,Internet software & services,"Benchmark Capital, DAG Ventures, Insight Venture Partners"
Niantic,$3.95 ,11/24/2017,United States,Mobile & telecommunications,"Nintendo, Google, Pokemon Company International, Spark Capital"
Northvolt,$3.55 ,6/12/2019,Sweden,Other,"Vattenfall, Volkswagen Group, Goldman Sachs"
Nubank,$10 ,3/1/2018,Brazil,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures"
NuCom Group,$2.20 ,2/22/2018,Germany,Other,General Atlantic
Numbrs,$1 ,8/22/2019,Switzerland,Fintech,"Investment Corporation of Dubai, Centralway"
Nuro,$5 ,2/11/2019,United States,Auto & transportation,"SoftBank Group, Greylock Partners, Gaorong Capital"
Nxin,$1.08 ,9/18/2018,China,Internet software & services,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
o9 Solutions,$1 ,4/28/2020,United States,Artificial intelligence,KKR
OakNorth,$2.80 ,10/12/2017,United Kingdom,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Oatly,$2 ,7/14/2020,Sweden,Consumer & retail,"Blackstone, Verlinvest, China Resources Holdings"
OCSiAl,$1 ,3/4/2019,Luxembourg,Other,"A&NN, Rusnano"
OfferUp,$1.20 ,9/8/2016,United States,Mobile & telecommunications,"Andreessen Horowitz, GGV Capital, T. Rowe Price"
Ola Cabs,$6.30 ,10/27/2014,India,Auto & transportation,"Accel Partners, SoftBank Group, Sequoia Capital"
Ola Electric Mobility,$1 ,7/2/2019,India,Auto & transportation,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Omio,$1 ,10/23/2018,Germany,Travel,"Lakestar, Battery Ventures, New Enterprise Associates"
One97 Communications,$16 ,5/12/2015,India,Fintech,"Intel Capital, Sapphire Ventures, Alibaba Group"
OneTrust,$2.70 ,7/11/2019,United States,Internet software & services,Insight Partners
Orbbec Technology,$1 ,5/21/2018,China,Hardware,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China"
Orca Bio,$1 ,6/17/2020,United States,Health,"Lightspeed Venture Partners, Data Collective, 8VC"
OrCam Technologies,$1.30 ,2/20/2018,Israel,Artificial intelligence,"Intel Capital, Aviv Venture Capital"
Oscar Health,$3.20 ,4/20/2015,United States,Health,"BoxGroup, Formation8, Khosla Ventures"
Otto Bock HealthCare,$3.52 ,6/24/2017,Germany,Health,EQT Partners
Outreach,$1.33 ,4/16/2019,United States,Artificial intelligence,"Mayfield Fund, M12, Trinity Ventures"
OutSystems,$1 ,6/5/2018,Portugal,Internet software & services,"KKR, ES Ventures, North Bridge Growth Equity"
OVH,$1.10 ,8/15/2016,France,Other,"KKR, TowerBrook Capital Partners"
Ovo,$2.90 ,3/14/2019,Indonesia,Fintech,"Grab, Tokopedia, Tokyo Century Corporation"
OVO Energy,$1.28 ,2/14/2019,United Kingdom,Other,"Mitsubishi Corporation, Mayfair Equity Partners"
Oxford Nanopore Technologies,$2.23 ,7/21/2015,United Kingdom,Health,"Illumina, Invesco Perpetual, IP Group"
OYO Rooms,$7.70 ,9/25/2018,India,Travel,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
Pat McGrath Labs,$1 ,7/16/2018,United States,Consumer & retail,"One Luxury Group, Eurazeo"
Patreon,$1.20 ,9/2/2020,United States,Internet software & services,"Index Ventures, Thrive Capital, CRV"
PAX,$1.70 ,10/22/2018,United States,Consumer & retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Payoneer,$1 ,12/5/2017,United States,Fintech,"Susquehanna Growth Equity, 83North, China Broadband Capital"
Pendo,$1 ,10/17/2019,United States,Internet software & services,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
Pharmapacks,$1.10 ,11/12/2020,United States,E-commerce & direct-to-consumer,The Carlyle Group
Pine Labs,$1.60 ,1/24/2020,India,Fintech,"MasterCard, Temasek, PayPal Ventures"
Playco,$1 ,9/21/2020,Japan,Other,"Sozo Ventures, Caffeinated Capital, Sequoia Capital"
Podium,$1.50 ,4/7/2020,United States,Internet software & services,"Accel, Summit Partners, Google Ventures"
Poizon,$1 ,4/29/2019,China,Mobile & telecommunications,"DST Global, Sequoia Capital China, Gaorong Capital"
PolicyBazaar,$1.50 ,5/6/2019,India,Fintech,"Info Edge, Softbank Capital"
Pony.ai,$3 ,7/11/2018,United States,Artificial intelligence,"Sequoia Capital China, IDG Capital, DCM Ventures"
Postman,$2 ,6/11/2020,United States,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners"
Preferred Networks,$2 ,5/17/2018,Japan,Artificial intelligence,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Procore,$5 ,12/8/2016,United States,Internet software & services,"Bessemer Venture Partners, O'Connor Ventures, Iconiq Capital"
Promasidor Holdings,$1.58 ,11/8/2016,South Africa,Consumer & retail,"IFC, Ajinomoto"
Quanergy Systems,$2 ,8/22/2016,United States,Auto & transportation,"Delphi Automotive, Samsung Ventures, Motus Ventures"
QuintoAndar,$1 ,9/9/2019,Brazil,E-commerce & direct-to-consumer,"Kaszek Ventures, General Atlantic, SoftBank Group"
Quizlet,$1 ,5/13/2020,United States,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
Qumulo,$1.20 ,7/16/2020,United States,Data management & analytics,"Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
Quora,$2 ,4/21/2017,United States,Internet software & services,"Y Combinator, Matrix Partners, Benchmark"
Radius Payment Solutions,$1.04 ,11/27/2017,United Kingdom,Fintech,Inflexion Private Equity
Rani Therapeutics,$1 ,2/8/2018,United States,Health,"Google Ventures, VentureHealth, InCube Ventures"
Rappi,$3.50 ,8/31/2018,Colombia,"Supply chain, logistics, & delivery","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
Rapyd,$1.20 ,12/3/2019,United Kingdom,Fintech,"Target Global, General Catalyst, Durable Capital Partners"
Razorpay,$1 ,10/11/2020,India,Fintech,"Y Combinator, Tiger Global Management, Matrix Partners India"
Red Ventures,$1 ,1/7/2015,United States,Other,"Silver Lake Partners, General Atlantic"
reddit,$3 ,7/31/2017,United States,Internet software & services,"Y Combinator, Sequoia Capital, Coatue Management"
Redis Labs,$1 ,8/25/2020,United States,Data management & analytics,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
Relativity Space,$2.30 ,11/23/2020,United States,Other,"Playground Global, Bond, Tribe Capital"
Remitly,$1.50 ,7/10/2019,United States,Fintech,"DN Capital, Threshold Ventures, Trilogy Equity Partners"
ReNew Power,$2.29 ,2/14/2017,India,Other,"Goldman Sachs, JERA, Asian Development Bank"
Rent the Runway,$1 ,3/21/2019,United States,E-commerce & direct-to-consumer,"Bain Capital Ventures, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
Revolut,$5.50 ,4/26/2018,United Kingdom,Fintech,"index Ventures, DST Global, Ribbit Capital"
Revolution Precrafted,$1 ,10/23/2017,Philippines,Other,"K2 Global, 500 Startups"
RigUp,$1.90 ,9/30/2019,United States,Internet software & services,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
Ripple,$10 ,12/20/2019,United States,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners"
Rippling,$1.35 ,8/4/2020,United States,Internet software & services,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Riskified,$1 ,11/5/2019,United States,Cybersecurity,"Entree Capital, Genesis Partners, Qumra Capital"
Rivian,$3.50 ,9/10/2019,United States,Auto & transportation,"Amazon, Ford Motor Company, Cox Automotive"
Rivigo,$1.07 ,7/11/2019,India,"Supply chain, logistics, & delivery","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors"
Ro,$1.50 ,7/27/2020,United States,Health,"Initialized Capital, General Catalyst, SignalFire"
Robinhood,$11.70 ,4/26/2017,United States,Fintech,"Google Ventures, Andreessen Horowitz, DST Global"
Roblox,$4 ,9/5/2018,United States,Internet software & services,"Atlos Ventures, Index Ventures, First Round Capital"
Rocket Lab,$1 ,3/21/2017,United States,Other,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
Roivant Sciences,$9.09 ,8/9/2017,United States,Health,"SoftBankGroup, Founders Fund"
Royole Corporation,$6 ,8/18/2015,China,Hardware,"Warmsun Holding, IDG Capital Partners"
Rubicon Global,$1.07 ,8/25/2017,United States,Other,"Goldman Sachs, Leonardo DiCaprio, Promecap"
Rubrik,$3.30 ,4/28/2017,United States,Data management & analytics,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures"
Samsara Networks,$5.40 ,3/22/2018,United States,Hardware,"Andreessen Horowitz, General Catalyst"
Samumed,$12.44 ,8/6/2018,United States,Health,"Vickers Venture Partners, IKEA GreenTech"
Scale AI,$1 ,8/5/2019,United States,Artificial intelligence,"Accel, Y Combinator, Index Ventures"
Scopely,$3.30 ,10/29/2019,United States,Mobile & telecommunications,"Greycroft, Sands Capital, Revolution Growth"
Seismic,$1.60 ,12/18/2018,United States,Internet software & services,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
Sema4,$1.10 ,7/29/2020,United States,Health,"Blackrock, Connecticut Innovations, Deerfield Management"
SenseTime,$7.50 ,7/11/2017,China,Artificial intelligence,"Star VC, IDG Capital, Infore Capital, Alibaba Group"
SentinelOne,$3.10 ,2/19/2020,United States,Cybersecurity,"Granite Hill Capital Partners, Data Collective, Tiger Global Management"
ServiceTitan,$1.65 ,11/14/2018,United States,Internet software & services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
SHEIN,$15 ,7/3/2018,China,E-commerce & direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Sila Nanotechnologies,$1 ,4/16/2019,United States,Other,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
Sisense,$1.10 ,1/9/2020,United States,Data management & analytics,"Opus Capital, Genesis Partners, Battery Ventures"
Skydance Media,$2.30 ,2/11/2020,United States,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
SmartNews,$1.20 ,8/5/2019,Japan,Mobile & telecommunications,"Japan Post Capital, Globis Capital Partners, Atomico"
SMS Assist,$1 ,6/7/2016,United States,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
Snapdeal,$6.50 ,5/21/2014,India,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group"
Snyk,$2.60 ,1/21/2020,United States,Cybersecurity,"BOLDstart Ventures, Google Ventures, Accel"
Socar,$1 ,10/16/2020,South Korea,Auto & transportation,"Bain Capital, Altos Ventures, Songhyun Investment"
SoFi,$4.80 ,2/3/2015,United States,Fintech,"Baseline Ventures, DCM Ventures, Institutional Venture Partners"
Sonder,$1.30 ,7/11/2019,United States,Travel,"Structure Capital, Spark Capital, Greylock Partners"
SouChe Holdings,$3.50 ,11/1/2017,China,E-commerce & direct-to-consumer,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
SoundHound,$1 ,5/3/2018,United States,Artificial intelligence,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
SpaceX,$46 ,12/1/2012,United States,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
Sprinklr,$2.70 ,3/31/2015,United States,Internet software & services,"Azure Capital Partners, Battery Ventures, Intel Capital"
Squarespace,$1.70 ,12/14/2017,United States,Internet software & services,"General Atlantic, Index Ventures, Accel Partners"
Starry,$1.29 ,7/3/2018,United States,Mobile & telecommunications,"Social Capital, Bessemer Venture Partners"
StockX,$1 ,6/26/2019,United States,E-commerce & direct-to-consumer,"Google Ventures, Battery Ventures, DST Global"
Stripe,$36 ,1/23/2014,United States,Fintech,"Khosla Ventures, LowercaseCapital, capitalG"
sweetgreen,$1.60 ,11/13/2018,United States,Consumer & retail,"Red Sea Ventures, Fidelity Investments, Revolution"
Swiggy,$3.60 ,6/21/2018,India,"Supply chain, logistics, & delivery","Accel India, SAIF Partners, Norwest Venture Partners"
Symphony,$1.40 ,5/16/2017,United States,Fintech,"BNP Paribas, Goldman Sachs, Google"
Talkdesk,$3 ,10/3/2018,United States,Internet software & services,"DJF, Salesforce Ventures, Storm Ventures"
TangoMe,$1.10 ,3/20/2014,United States,Mobile & telecommunications,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
Tanium,$9 ,3/31/2015,United States,Cybersecurity,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
TechStyle Fashion Group,$1 ,8/29/2014,United States,E-commerce & direct-to-consumer,"Matrix Partners, Passport Capital, Rho Ventures"
Tekion,$1 ,10/21/2020,United States,Internet software & services,"Airbus Ventures, Index Ventures, Advent International"
TELD,$1.11 ,12/16/2019,China,Fintech,"China Reform Fund, Gaopeng Capital, Jinhui Xingye"
Tempus,$5 ,3/21/2018,United States,Health,"New Enterprise Associates, T. Rowe Associates, Lightbank"
TERMINUS Technology,$1 ,10/25/2018,China,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK"
ThoughtSpot,$1.95 ,5/8/2018,United States,Internet software & services,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital"
Thrasio,$1 ,7/15/2020,United States,Other,"Upper90, RiverPark Ventures, Advent International"
Thumbtack,$1.70 ,9/29/2015,United States,E-commerce & direct-to-consumer,"Tiger Global, Sequoia Capital, Google Capital"
Tipalti,$2 ,10/6/2020,United States,Fintech,"01 Advisors, Zeev Ventures, Group 11"
Toast,$4.90 ,7/10/2018,United States,Fintech,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
Tokopedia,$7 ,4/8/2016,Indonesia,E-commerce & direct-to-consumer,"SoftBankGroup, Alibaba Group, Sequoia Capital India"
Tongdun Technology,$2 ,4/25/2019,China,Cybersecurity,"Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co."
Toss,$2.60 ,12/9/2018,South Korea,Fintech,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Tradeshift,$1.10 ,5/30/2018,United States,Fintech,"Notion Capital, Scentan Ventures, Kite Ventures"
TransferWise,$5 ,1/26/2015,United Kingdom,Fintech,"IA Ventures, Index, Ventures, SV Angel"
Traveloka,$3 ,1/1/2017,Indonesia,Travel,"Global Founders Capital, East Ventures, Expedia Inc."
Trax,$1.30 ,7/22/2019,Singapore,Artificial intelligence,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures"
Trendy Group International,$2 ,2/13/2012,Hong Kong,Consumer & retail,L Capital Partners
Tresata,$1.05 ,10/10/2018,United States,Fintech,GCP Capital Partners
TripActions,$4 ,11/8/2018,United States,Travel,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
Trumid,$1 ,7/15/2020,United States,Fintech,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
Tubatu.com,$2 ,3/9/2015,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Matrix Partners China, 58.com"
Tuhu,$1.16 ,9/15/2018,China,Auto & transportation,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon"
TuJia,$1.45 ,6/17/2015,China,Travel,"GGV Capital, QiMing Venture Partnersl"
Turo,$1 ,7/17/2019,United States,E-commerce & direct-to-consumer,"August Capital, Google Ventures, Shasta Ventures"
TuSimple,$1 ,2/13/2019,United States,Artificial intelligence,"Sina Weibo Fund, Zhiping Capital, Composite Capital Partners"
Tuya Smart,$1 ,7/24/2018,China,Internet software & services,"New Enterprise Associates, Quadrille Capital, Global Bridge Capital"
UBTECH Robotics,$5 ,7/25/2016,China,Hardware,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Udaan,$2.30 ,9/4/2018,India,"Supply chain, logistics, & delivery","DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
Udemy,$3.20 ,2/19/2020,United States,Edtech,"MHS Capital, Insight Partners, Norwest Venture Partners"
UiPath,$10.20 ,3/2/2018,United States,Artificial intelligence,"Accel, capitalG, Earlybrid Venture Capital, Seedcamp"
Unacademy,$2 ,9/2/2020,India,Edtech,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India"
Unisound,$1.19 ,7/19/2018,China,Artificial intelligence,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures"
United Imaging Healthcare,$5.08 ,9/15/2017,China,Health,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
Unqork,$2 ,10/6/2020,United States,Fintech,"Blackrock, capitalG, World Lab Innovation"
Upgrade,$1 ,6/17/2020,United States,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital"
Uptake,$2.30 ,10/27/2015,United States,Artificial intelligence,"Revolution, New Enterprise Associates, Caterpillar"
Vacasa,$1 ,10/29/2019,United States,Travel,"Level Equity, NewSpring Holdings, Riverwood Capital"
VANCL,$3 ,12/14/2010,China,E-commerce & direct-to-consumer,"Ceyuan Ventures, QiMing Venture Partners, Temasek Holdings"
VAST Data,$1.20 ,4/16/2020,United States,Data management & analytics,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Verkada,$1.60 ,1/29/2020,United States,Cybersecurity,"next47, First Round Capital, Sequoia Capital"
Via Transportation,$2.25 ,3/30/2020,United States,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital"
Vice Media,$5.70 ,4/2/2011,United States,Internet software & services,"Technology Crossover Ventures, A&E Television Networks"
VillageMD,$1 ,7/8/2020,United States,Health,"Kinnevik, Oak HC/FT Partners, Walgreens Boots Alliance"
Vinted,$1.12 ,11/27/2019,Lithuania,E-commerce & direct-to-consumer,"Accel, Insight Partners, Burda Principal Investments"
VIPKid,$4.50 ,8/4/2016,China,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vista Global,$2.50 ,8/23/2017,United Arab Emirates,Other,Rhone Capital
Voodoo,$1.40 ,8/17/2020,France,Other,"Tencent Holdings, Goldman Sachs"
Vox Media,$1 ,8/12/2015,United States,Internet software & services,"Accel Partners, Comcast Ventures, General Atlantic"
VTS,$1 ,5/7/2019,United States,Internet software & services,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners"
Wacai,$1 ,7/18/2018,China,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
WalkMe,$1 ,11/13/2018,United States,Internet software & services,"Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital"
Warby Parker,$3 ,4/30/2015,United States,E-commerce & direct-to-consumer,"BoxGroup, Felicis Ventures, First Round Capital"
Waterdrop,$2.88 ,8/20/2020,China,Fintech,"Tencent Holdings, IDG Capital, Gaorong Capital"
We Doctor,$5.50 ,9/22/2015,China,Health,"Tencent, Morningside Group"
wefox Group,$1.50 ,3/5/2019,Germany,Fintech,"Salesforce Ventures, Seedcamp, OMERS Ventures"
WeLab,$1 ,11/8/2017,Hong Kong,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
WEMAKEPRICE,$2.34 ,9/9/2015,South Korea,E-commerce & direct-to-consumer,"IMM Investment, NXC"
Whoop,$1.20 ,10/28/2020,United States,E-commerce & direct-to-consumer,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Wildlife Studios,$3 ,12/5/2019,Brazil,Other,"Benchmark, Bessemer Venture Partners"
Wish,$11.20 ,5/18/2015,United States,E-commerce & direct-to-consumer,"Founders Fund, GGV Capital, Digital Sky Technologies"
WM Motor,$5 ,3/8/2019,China,Auto & transportation,"Baidu Capital, Linear Venture, Tencent"
Womai,$1 ,10/12/2015,China,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital"
Workhuman,$1.20 ,6/23/2020,Ireland,Internet software & services,ICG
WTOIP,$1.27 ,4/8/2018,China,Internet software & services,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
XANT,$1.70 ,4/28/2014,United States,Artificial intelligence,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
Xiaohongshu,$3 ,3/31/2016,China,E-commerce & direct-to-consumer,"GGV Capital, ZhenFund, Tencent"
XiaoZhu,$1.50 ,11/1/2017,China,Travel,"Morningside Ventures, Capital Today, JOY Capital"
Ximalaya FM,$1.52 ,9/22/2017,China,Mobile & telecommunications,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
Xinchao Media,$2.59 ,4/9/2018,China,Internet software & services,"JD.com, Baidu, Vision Plus Capital"
Yanolja,$1 ,6/10/2019,South Korea,Travel,"SBI Investment Korea, Partners Investment, GIC"
Yello Mobile,$4 ,11/11/2014,South Korea,Mobile & telecommunications,Formation 8
YH Global,$1.02 ,9/21/2017,China,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland"
Yidian Zixun,$1.40 ,10/17/2017,China,Mobile & telecommunications,"Phoenix New Media, Tianjin Haihe Industry Fund"
Yiguo,$1.20 ,11/9/2016,China,"Supply chain, logistics, & delivery","Alibaba Group, KKR, Goldman Sachs"
Yijiupi,$1.50 ,9/20/2018,China,Consumer & retail,"Source Code Capital, Meituan Dianping, Tencent Holdings"
Yimidida,$1.17 ,1/14/2019,China,"Supply chain, logistics, & delivery","Source Code Capital, Global Logistic Properties, K2VC"
YITU Technology,$2.17 ,3/8/2018,China,Artificial intelligence,"Sequoia Capital China, Banyan Capital"
Yixia,$3 ,11/24/2015,China,Mobile & telecommunications,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures"
You & Mr Jones,$1.30 ,11/19/2019,United States,Other,Undisclosed
Youxia Motors,$3.35 ,4/2/2018,China,Auto & transportation,"China Environmental Protection Industry, China Fortune Ocean"
Yuanfudao,$15.50 ,5/31/2017,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
Zenefits,$2.09 ,5/6/2015,United States,Fintech,"SV Angel, Institutional Venture Partners, Venrock"
Zeta Global,$1.30 ,7/15/2015,United States,Internet software & services,"GSO Capital Partners, Franklin Square"
Zhangmen,$1.60 ,2/18/2019,China,Edtech,"Shunwei Capital Partners, QingSong Fund, Warburg Pincus"
Zhaogang,$1 ,6/29/2017,China,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital"
Zhihu,$2.70 ,1/12/2017,China,Internet software & services,"Tencent Holdings, Sinovation Ventures, Qiming Venture Partners"
